Name,SMILES,Hep3B cell IC50 (μM),FGFR4 DC50 (μM)
C1,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,1.50±0.19,>1
C2,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,2.64±0.08,>1
C3,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,>3,>1
C4,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,>3,>1
C5,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCOCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,>3,>1
C6,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C)C(C)(C)C,>3,>1
D1,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)c1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.526±0.01,0.452±0.01
D2,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.728±0.02,0.538±0.13
D3,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.283±0.01,0.176±0.02
D4,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCCCCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.964±0.02,0.957±0.12
