Name,SMILES,Hep3B cell IC50 (μM),FGFR4 DC50 (μM),E3 Ligase,NWHM,lgKd_ternary,dist_ub,num_clash,ub_lys_site
C1,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,1.50±0.19,>1,vhl,0.3270303153064821,-4.542509078979492,42.4938850402832,0,531
C2,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,2.64±0.08,>1,vhl,0.35268764037611905,-4.550650596618652,40.92500686645508,0,531
C3,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,>3,>1,vhl,0.3153595279386802,-4.961713790893555,43.207305908203125,0,531
C4,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,>3,>1,vhl,0.28100547859943426,-4.307790756225586,44.37538146972656,0,531
C5,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCOCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C,>3,>1,vhl,0.2069091714648364,-4.276623725891113,47.399906158447266,0,531
C6,N1([C@@H](C[C@H](C1)O)C(=O)NCc1ccc(cc1)c1scnc1C)C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCC(=O)N1CCN(CC1)c1cc(c(c(c1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl)NC(=O)C=C)C(C)(C)C,>3,>1,vhl,0.14532995369057453,-3.7504544258117676,50.82112121582031,0,531
D1,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)c1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.526±0.01,0.452±0.01,crbn,0.412573289101713,-4.116467475891113,8.660685539245605,25,512
D2,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.728±0.02,0.538±0.13,crbn,0.34343500088459383,-4.244568824768066,6.619258880615234,45,737
D3,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.283±0.01,0.176±0.02,crbn,0.4541706098447474,-4.189281463623047,2.8109822273254395,28,745
D4,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCCCCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.964±0.02,0.957±0.12,crbn,0.3507405259704601,-3.8676319122314453,10.091748237609863,25,745
D5,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCCCCCCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,>3,>1,crbn,0.34206118929829393,-3.982658863067627,11.00784969329834,32,745
D6,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCCCCCCCCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,>3,>1,crbn,0.2886449339818797,-3.929481029510498,8.305112838745117,46,531
D7,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCOCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,1.15±0.02,>1,crbn,0.31523160963130326,-4.645662307739258,6.364522933959961,52,737
D8,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCOCCOCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,>3,>1,crbn,0.2831225293220617,-4.267453193664551,5.059967041015625,56,737
D9,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCOCCOCCOCCOCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,>3,>1,crbn,0.18902611622386262,-3.603909492492676,9.72492790222168,59,745
D10,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)C(=O)CCOCCOCCOCCOCCOCCOCCNc1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,>3,>1,crbn,0.1820837442666337,-3.5883994102478027,12.935158729553223,59,471
D11,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)CC1CCN(CC1)c1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.060±0.01,0.056±0.01,crbn,0.4831730385955738,-4.1220502853393555,11.241385459899902,8,607
D12,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)CC1CN(CC1)c1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.134±0.02,0.098±0.01,crbn,0.427050181353749,-4.250462532043457,9.90463924407959,26,745
D13,C(=O)(C=C)Nc1c(c(cc(c1)N1CCN(CC1)CC1CN(C1)c1c2C(=O)N(C(=O)c2ccc1)C1C(=O)NC(=O)CC1)C)Nc1nc2c(cn1)cc(cc2)c1c(c(cc(c1Cl)OC)OC)Cl,0.207±0.01,0.124±0.02,crbn,0.4223201811285838,-4.109704971313477,7.005493640899658,25,531
BLU554,COC1=CC(=C(C(=C1Cl)C2=CC3=CN=C(N=C3C=C2)N[C@@H]4COCC[C@@H]4NC(=O)C=C)Cl)OC,0.083±0.01,,,,,,,
