SMILES,SMILES_state,Warheads,Linker,NLL,cluster
CCC(=O)Nc1cc(N2CC3CCC(C2)N3c2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]N1CC2CCC(C1)N2[Es],7.68,3
CCC(=O)Nc1cc(C2C3CCC2C(Nc2cccc4c2C(=O)N(C2CCC(=O)NC2=O)C4=O)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1C2CCC1C(N[Es])C2,7.77,1
CCC(=O)Nc1cc(N2CC3CC(O)C(C2)N3c2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]N1CC2CC(O)C(C1)N2[Es],7.21,3
CCC(=O)Nc1cc(C2(CO)CCC(N3CC(CCc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)C3)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1(CO)CCC(N2CC(CC[Es])C2)CC1,13.99,11
CCC(=O)Nc1cc(C2CC(OC3CCN(c4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CC(OC2CCN([Es])CC2)C1,8.08,1
CCC(=O)Nc1cc(C2(C3CCC(Nc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1(C2CCC(N[Es])CC2)CC1,6.03,1
CCC(=O)Nc1cc(C2(C3CC(N4CCC(N5CCC(Nc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC4)C3)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1(C2CC(N3CCC(N4CCC(N[Es])CC4)CC3)C2)CC1,15.15,11
CCC(=O)Nc1cc(C2CCC(NC3CC4(C3)CN(c3cccc5c3C(=O)N(C3CCC(=O)NC3=O)C5=O)C4)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CCC(NC2CC3(C2)CN([Es])C3)CC1,10.16,0
CCC(=O)Nc1cc(N2CC3CC2CN3C2CC(OC3CCN(CC4CCN(c5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)C2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]N1CC2CC1CN2C1CC(OC2CCN(CC3CCN([Es])CC3)CC2)C1,22.79,11
CCC(=O)Nc1cc(C2CC3(C2)CN(C2CCN(CC4CN(c5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)C4)CC2)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CC2(C1)CN(C1CCN(CC3CN([Es])C3)CC1)C2,10.48,2
