SMILES,SMILES_state,Warheads,Linker,NLL,mol,cluster,NLL_mean
CCC(=O)Nc6cc(N5CCN(CC4CCN(c2cccc3c(=O)n(C1CCC(=O)NC1=O)c(=O)c23)C4)CC5)cc(C)c6Nc9ncc8cc(c7c(Cl)c(OC)cc(OC)c7Cl)ccc8n9,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]N2CCN(CC1CCN([Es])C1)CC2,4.17,<rdkit.Chem.rdchem.Mol object at 0x7f4dbe0f3530>,5,6.4575000000000005
CCC(=O)Nc1cc(N2CCN(c3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]N1CCN([Es])CC1,6.95,<rdkit.Chem.rdchem.Mol object at 0x7f4dbe0f2f10>,3,7.2925
CCC(=O)Nc1cc(C2(C)CCC(OC3CCC(Nc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1(C)CCC(OC2CCC(N[Es])CC2)CC1,8.65,<rdkit.Chem.rdchem.Mol object at 0x7f4dbb0ddfc0>,6,8.65
CCC(=O)Nc1cc(C2CCC3(CC2)CN(c2cccc4c2C(=O)N(C2CCC(=O)NC2=O)C4=O)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CCC2(CC1)CN([Es])C2,3.6,<rdkit.Chem.rdchem.Mol object at 0x7f4dbe0f3290>,1,8.81525
CCC(=O)Nc1cc(C2CC3(C2)CN(C2CC(OC4CCN(c5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C2)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CC2(C1)CN(C1CC(OC3CCN([Es])CC3)C1)C2,8.88,<rdkit.Chem.rdchem.Mol object at 0x7f4dbb0dceb0>,9,11.105
CCC(=O)Nc1cc(C2CCC(N3CCN(c4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CCC(N2CCN([Es])CC2)CC1,4.71,<rdkit.Chem.rdchem.Mol object at 0x7f4dbe0f35a0>,0,11.84311475409836
CCC(=O)Nc1cc(C2CC3(C2)CN(C2CN(c4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)C2)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CC2(C1)CN(C1CN([Es])C1)C2,5.91,<rdkit.Chem.rdchem.Mol object at 0x7f4dbe0f3f40>,2,13.102
CCC(=O)Nc1cc(C2CC3(C2)CC(N2CCN(C4CCC(Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC2)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CC2(C1)CC(N1CCN(C3CCC(N[Es])CC3)CC1)C2,10.71,<rdkit.Chem.rdchem.Mol object at 0x7f4dbb0dcc80>,8,13.540000000000001
CCC(=O)Nc1cc(C2CC3(C2)CC(N(C)CCOCCOCCOCCNc2cccc4c2C(=O)N(C2CCC(=O)NC2=O)C4=O)C3)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CC2(C1)CC(N(C)CCOCCOCCOCCN[Es])C2,9.8,<rdkit.Chem.rdchem.Mol object at 0x7f4dbb0dc9e0>,10,13.675
CCC(=O)Nc1cc(C2CN(C3CCC(OC4CC(Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)C4)CC3)C2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[Po]C1CN(C2CCC(OC3CC(N[Es])C3)CC2)C1,12.54,<rdkit.Chem.rdchem.Mol object at 0x7f4dbb0dc740>,4,13.726666666666667
