Agent,Prior,Target,Score,SMILES,SMILES_state,Warheads,Linker,Scaffold,docking with boltz,docking with boltz (raw),num_clash (docking with boltz),lgKd_ternary (docking with boltz),dist_ub (docking with boltz),dist_ub_square (docking with boltz),ref_model (docking with boltz),step
4.3227,4.3227,54.9942,0.4634135,CCC(=O)Nc1cc(C2CCN(C(=O)CCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]C1CCN(C(=O)CCCCC(=O)[*])CC1,O=C(CCCCC(=O)N1CCC(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.4634135,0.4634,0,-4.423867225646973,33.365928649902344,1113.285194670374,model1_clean.pdb,1
7.4255,7.4255,20.0627,0.2147510,CCC(=O)Nc1cc(C2CCN(C(=O)CCNC(=O)CCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]C1CCN(C(=O)CCNC(=O)CCC(=O)[*])CC1,O=C(CCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1)NCCC(=O)N1CCC(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)CC1,0.2147510,0.2148,0,-4.68295955657959,46.84067916870117,2194.049224985196,model1_clean.pdb,1
6.1012,6.1012,45.1905,0.4007162,CCC(=O)Nc1cc(C2CCN(CC(=O)CCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]C1CCN(CC(=O)CCC(=O)[*])CC1,O=C(CCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1)CN1CCC(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)CC1,0.4007162,0.4007,0,-4.414376258850098,36.939735412597656,1364.5440523527213,model1_clean.pdb,1
2.8693,2.8693,35.6262,0.3007465,CCC(=O)Nc1cc(C2CCN(CC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]C1CCN(CC(=O)[*])CC1,O=C(CN1CCC(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.3007465,0.3007,0,-4.150813102722168,40.77012252807617,1662.2028909543442,model1_clean.pdb,1
9.0552,9.0552,28.6220,0.2943530,CCC(=O)Nc1cc(N2CC(NC(=O)COCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)C2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]N1CC(NC(=O)COCC(=O)[*])C1,O=C(COCC(=O)NC1CN(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)C1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.2943530,0.2944,0,-4.22734260559082,41.92399215698242,1757.6211183787236,model1_clean.pdb,1
8.1012,8.1012,26.6799,0.2717277,CCC(=O)Nc1cc(N2CCC(N3CCN(CCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCc4ccc(-c5scnc5C)cc4)C(C)(C)C)CC3)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]N1CCC(N2CCN(CCCC(=O)[*])CC2)CC1,O=C(CCCN1CCN(C2CCN(c3ccc(Nc4ncc5cc(-c6ccccc6)ccc5n4)cc3)CC2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.2717277,0.2717,0,-4.259885787963867,43.0338020324707,1851.9081173698796,model1_clean.pdb,1
8.8530,8.8530,35.4679,0.3462571,CCC(=O)Nc1cc(N2CCC(OCCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]N1CCC(OCCCOCC(=O)[*])CC1,O=C(COCCCOC1CCN(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.3462571,0.3463,0,-4.286201477050781,39.501373291015625,1560.3584918761626,model1_clean.pdb,1
6.1781,6.1781,33.1899,0.3075619,CCC(=O)Nc1cc(NCCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)(C)C)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]NCCCCCC(=O)[*],O=C(CCCCCNc1ccc(Nc2ncc3cc(-c4ccccc4)ccc3n2)cc1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.3075619,0.3076,0,-3.8920083045959473,37.629268646240234,1415.9618588509184,model1_clean.pdb,1
6.4441,6.4441,21.0949,0.2151486,CCC(=O)Nc1cc(NCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)(C)C)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]NCCOCCOCC(=O)[*],O=C(COCCOCCNc1ccc(Nc2ncc3cc(-c4ccccc4)ccc3n2)cc1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.2151486,0.2151,0,-3.4615917205810547,34.819698333740234,1212.4113920526725,model1_clean.pdb,1
5.6810,8.0388,24.8109,0.2566380,CCC(=O)Nc1cc(C2CCC(NC(=O)CCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)cc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,1,*c1cc(C)c(Nc2ncc3cc(-c4c(Cl)c(OC)cc(OC)c4Cl)ccc3n2)c(NC(=O)CC)c1|*N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,[*]C1CCC(NC(=O)CCCCC(=O)[*])CC1,O=C(CCCCC(=O)NC1CCC(c2ccc(Nc3ncc4cc(-c5ccccc5)ccc4n3)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,0.2566380,0.2566,0,-4.498720169067383,44.393699645996094,1970.8005682589137,model1_clean.pdb,2
